Ocean,Group,Species,LatinName,CommonName,RFMO,SpStock,Evaluation,Recent catch,5yearcatch,max catch,MSY,FinalWeights,Source,WeightBy,Status_F,Status_B,Bratio,Fratio,Last_assessment_year,Fstatus,FisheryStatus
Pacific,Billfishes,MLS,Kajikia audax,Striped marlin,IATTC,MLS Eastern North Pacific,Assessed,,,,2031,2031,IATTC assessment,MSY,No,No,1.52,0.075,2009,Not overfishing,Not overfished
Atlantic,Sharks,POR,Lamna nasus,Porbeagle shark,ICCAT,POR Northwest Atlantic,Assessed,0.144,,,NA,1,ICCAT assessment,Unity,No,Yes,0.54,0.195,2008,Not overfishing,Overfished
Pacific,Tunas,ALB,Thunnus alalunga,Albacore tuna,WCPFC,ALB South Pacific,Assessed,,,,98080,98080,WCPFC assessment,MSY,No,No,3.3,0.2,2016,Not overfishing,Not overfished
Pacific,Sharks,BSH,Prionace glauca,Blue shark,WCPFC,BSH North Pacific,Assessed,32900,37964.8,77733.33333,NA,77733.33333,ISC assessment,MaxCatch,likely not overfishing,likely not overfished,1.723748725,0.285254198,2015,Not overfishing,Not overfished
Atlantic,Tunas,BFT,Thunnus thynnus,Atlantic bluefin tuna,ICCAT,BFT East Atlantic,Assessed,24000,17000,61000,NA,61000,ICCAT assessment,MaxCatch,No,NA,NA,0.339,2015,Not overfishing,Undetermined
Atlantic,Sharks,BSH,Prionace glauca,Blue shark,ICCAT,BSH North Atlantic,Assessed,33853,38758.2,41119.66667,33853,33853,ICCAT assessment,MaxCatch,Not likely,Not likely,2.4,0.395,2013,Not overfishing,Not overfished
Pacific,Billfishes,SWO,Xiphias gladius,Swordfish,WCFPC-IATTC,SWO Western and Central North Pacific,Assessed,,,,14941,14941,ISC assessment,MSY,likely no,likely no,1.872627691,0.411764706,2016,Not overfishing,Not overfished
Pacific,Tunas,SKJ,Katsuwonus pelamis,Skipjack tuna,WCPFC,SKJ Western Pacific,Assessed,,,,2297481,2297481,WCPFC assessment,MSY,likely not,likely not,2.63,0.461,2018,Not overfishing,Not overfished
Pacific,Tunas,ALB,Thunnus alalunga,Albacore tuna,WCFPC-IATTC,ALB North Pacific,Assessed,,,,132072,132072,ISC assessment,MSY,No,No,2.47188324,0.47,2015,Not overfishing,Not overfished
Atlantic,Billfishes,SAI,Istiophorus platypterus,Sailfish,ICCAT,SAI West Atlantic,Assessed,,,,1537,1537,ICCAT assessment,MSY,Not likely ,No likely,1.485,0.48,2014,Not overfishing,Not overfished
Indian,Tunas,SBT,Thunnus maccoyii,Southern bluefin tuna,CCSBT,SBT Southern Ocean,Assessed,,,,33036,1,CCSBT assessment,SingleStock,Not Overfishing,Overfished,0.38,0.496,2016,Not overfishing,Overfished
Pacific,Sharks,SMA,Isurus oxyrinchus,Shortfin mako,WCFPC-IATTC,SMA North Pacific,Assessed,,,,3127,3127,ISC assessment,MSY,likely no,likely no,1.357424649,0.538461538,2016,Not overfishing,Not overfished
Atlantic,Tunas,ALB,Thunnus alalunga,Albacore tuna,ICCAT,ALB North Atlantic,Assessed,,,,37082,37082,ICCAT assessment,MSY,No,No,1.36,0.54,2015,Not overfishing,Not overfished
Atlantic,Tunas,ALB,Thunnus alalunga,Albacore tuna,ICCAT,ALB South Atlantic,Assessed,,,,25901,25901,ICCAT assessment,MSY,No,No,1.1,0.54,2014,Not overfishing,Not overfished
Atlantic,Tunas,BFT,Thunnus thynnus,Atlantic bluefin tuna,ICCAT,BFT West Atlantic,Assessed,1900,1700,3319,NA,3319,ICCAT assessment,MaxCatch,No,NA,NA,0.59,2015,Not overfishing,Undetermined
Atlantic,Billfishes,WHM,Kajikia albida,White marlin,ICCAT,WHM Atlantic,Assessed,,,,1495,1,ICCAT assessment,SingleStock,No,yes,0.58,0.65,2017,Not overfishing,Overfished
Atlantic,Tunas,SKJ,Katsuwonus pelamis,Skipjack tuna,ICCAT,SKJ West Atlantic,Assessed,,,,18000,18000,ICCAT assessment,MSY,No,No,1.3,0.7,2013,Not overfishing,Not overfished
Pacific,Tunas,YFT,Thunnus albacares,Yellowfin tuna,WCPFC,YFT Western Pacific,Assessed,,,,666800,666800,WCPFC assessment,MSY,Likely not,Likely not,1.39,0.75,2015,Not overfishing,Not overfished
Indian,Sharks,BSH,Prionace glauca,Blue shark,IOTC,BSH Indian,Assessed,54735,54900,54900,31590,31590,IOTC assessment,MaxCatch,No,No,1.5,0.76,2015,Not overfishing,Not overfished
Indian,Billfishes,SWO,Xiphias gladius,Swordfish,IOTC,SWO Indian,Assessed,,,,31590,31590,IOTC assessment,MSY,No,No,1.5,0.76,2015,Not overfishing,Not overfished
Pacific,Tunas,BET,Thunnus obesus,Bigeye tuna,WCPFC,BET Western Pacific,Assessed,,,,158551,158551,WCPFC assessment,MSY,no,no,1.394,0.78,2015,Not overfishing,Not overfished
Atlantic,Billfishes,SWO,Xiphias gladius,Swordfish,ICCAT,SWO North Atlantic,Assessed,,,,13059,13059,ICCAT assessment,MSY,NO,NO,1.04,0.78,2015,Not overfishing,Not overfished
Indian,Tunas,ALB,Thunnus alalunga,Albacore tuna,IOTC,ALB Indian,Assessed,,,,38800,38800,IOTC assessment,MSY,No,No,1.8,0.85,2014,Not overfishing,Not overfished
Pacific,Billfishes,SWO,Xiphias gladius,Swordfish,WCPFC,SWO South West Pacific,Assessed,,,,7914,7914,WCPFC assessment,MSY,Likely no,likely no,1.23,0.86,2015,Not overfishing,Not overfished
Pacific,Billfishes,BUM,Makaira nigricans,Blue marlin,WCFPC-IATTC,BUM Pacific,Assessed,,,,19901,19901,ISC assessment,MSY,No,No,1.249619705,0.875,2014,Not overfishing,Not overfished
Pacific,Billfishes,MLS,Kajikia audax,Striped marlin,WCPFC,MLS South West Pacific,Assessed,,,,2039,2039,WCPFC assessment,MSY,close to undergoing overfishing,likely overfished,0.737,0.911,2017,Not overfishing,Overfished
