Ocean,Species,Stock,Year,Variable,Value,Model,Run,RFMO
Indian,ALB,Indian,1950,Bratio,4.87627,SS3,Basecase,IOTC
Indian,ALB,Indian,1951,Bratio,4.87623,SS3,Basecase,IOTC
Indian,ALB,Indian,1952,Bratio,4.87612,SS3,Basecase,IOTC
Indian,ALB,Indian,1953,Bratio,4.86607,SS3,Basecase,IOTC
Indian,ALB,Indian,1954,Bratio,4.83883,SS3,Basecase,IOTC
Indian,ALB,Indian,1955,Bratio,4.80931,SS3,Basecase,IOTC
Indian,ALB,Indian,1956,Bratio,4.7546,SS3,Basecase,IOTC
Indian,ALB,Indian,1957,Bratio,4.71587,SS3,Basecase,IOTC
Indian,ALB,Indian,1958,Bratio,4.68573,SS3,Basecase,IOTC
Indian,ALB,Indian,1959,Bratio,4.60831,SS3,Basecase,IOTC
Indian,ALB,Indian,1960,Bratio,4.49613,SS3,Basecase,IOTC
Indian,ALB,Indian,1961,Bratio,4.42992,SS3,Basecase,IOTC
Indian,ALB,Indian,1962,Bratio,4.24247,SS3,Basecase,IOTC
Indian,ALB,Indian,1963,Bratio,4.16295,SS3,Basecase,IOTC
Indian,ALB,Indian,1964,Bratio,4.06511,SS3,Basecase,IOTC
Indian,ALB,Indian,1965,Bratio,3.99116,SS3,Basecase,IOTC
Indian,ALB,Indian,1966,Bratio,3.94622,SS3,Basecase,IOTC
Indian,ALB,Indian,1967,Bratio,3.84397,SS3,Basecase,IOTC
Indian,ALB,Indian,1968,Bratio,3.76064,SS3,Basecase,IOTC
Indian,ALB,Indian,1969,Bratio,3.69344,SS3,Basecase,IOTC
Indian,ALB,Indian,1970,Bratio,3.6706,SS3,Basecase,IOTC
Indian,ALB,Indian,1971,Bratio,3.66509,SS3,Basecase,IOTC
Indian,ALB,Indian,1972,Bratio,3.6933,SS3,Basecase,IOTC
Indian,ALB,Indian,1973,Bratio,3.6486,SS3,Basecase,IOTC
Indian,ALB,Indian,1974,Bratio,3.54046,SS3,Basecase,IOTC
Indian,ALB,Indian,1975,Bratio,3.49472,SS3,Basecase,IOTC
Indian,ALB,Indian,1976,Bratio,3.53664,SS3,Basecase,IOTC
Indian,ALB,Indian,1977,Bratio,3.55743,SS3,Basecase,IOTC
Indian,ALB,Indian,1978,Bratio,3.57865,SS3,Basecase,IOTC
Indian,ALB,Indian,1979,Bratio,3.52248,SS3,Basecase,IOTC
Indian,ALB,Indian,1980,Bratio,3.38658,SS3,Basecase,IOTC
Indian,ALB,Indian,1981,Bratio,3.33634,SS3,Basecase,IOTC
Indian,ALB,Indian,1982,Bratio,3.3522,SS3,Basecase,IOTC
Indian,ALB,Indian,1983,Bratio,3.30988,SS3,Basecase,IOTC
Indian,ALB,Indian,1984,Bratio,3.20944,SS3,Basecase,IOTC
Indian,ALB,Indian,1985,Bratio,3.1735,SS3,Basecase,IOTC
Indian,ALB,Indian,1986,Bratio,3.14019,SS3,Basecase,IOTC
Indian,ALB,Indian,1987,Bratio,3.12793,SS3,Basecase,IOTC
Indian,ALB,Indian,1988,Bratio,3.19717,SS3,Basecase,IOTC
Indian,ALB,Indian,1989,Bratio,3.15783,SS3,Basecase,IOTC
Indian,ALB,Indian,1990,Bratio,2.96026,SS3,Basecase,IOTC
Indian,ALB,Indian,1991,Bratio,2.61492,SS3,Basecase,IOTC
Indian,ALB,Indian,1992,Bratio,2.34929,SS3,Basecase,IOTC
Indian,ALB,Indian,1993,Bratio,2.13753,SS3,Basecase,IOTC
Indian,ALB,Indian,1994,Bratio,1.92496,SS3,Basecase,IOTC
Indian,ALB,Indian,1995,Bratio,1.90562,SS3,Basecase,IOTC
Indian,ALB,Indian,1996,Bratio,1.81225,SS3,Basecase,IOTC
Indian,ALB,Indian,1997,Bratio,1.75537,SS3,Basecase,IOTC
Indian,ALB,Indian,1998,Bratio,1.65504,SS3,Basecase,IOTC
Indian,ALB,Indian,1999,Bratio,1.577,SS3,Basecase,IOTC
Indian,ALB,Indian,2000,Bratio,1.49429,SS3,Basecase,IOTC
Indian,ALB,Indian,2001,Bratio,1.32758,SS3,Basecase,IOTC
Indian,ALB,Indian,2002,Bratio,1.21562,SS3,Basecase,IOTC
Indian,ALB,Indian,2003,Bratio,1.26221,SS3,Basecase,IOTC
Indian,ALB,Indian,2004,Bratio,1.32006,SS3,Basecase,IOTC
Indian,ALB,Indian,2005,Bratio,1.37532,SS3,Basecase,IOTC
Indian,ALB,Indian,2006,Bratio,1.41558,SS3,Basecase,IOTC
Indian,ALB,Indian,2007,Bratio,1.37654,SS3,Basecase,IOTC
Indian,ALB,Indian,2008,Bratio,1.37594,SS3,Basecase,IOTC
Indian,ALB,Indian,2009,Bratio,1.50112,SS3,Basecase,IOTC
Indian,ALB,Indian,2010,Bratio,1.58956,SS3,Basecase,IOTC
Indian,ALB,Indian,2011,Bratio,1.67447,SS3,Basecase,IOTC
Indian,ALB,Indian,2012,Bratio,1.7472,SS3,Basecase,IOTC
Indian,ALB,Indian,2013,Bratio,1.78069,SS3,Basecase,IOTC
Indian,ALB,Indian,2014,Bratio,1.80117,SS3,Basecase,IOTC
Indian,ALB,Indian,1950,Fratio,0.0002225,SS3,Basecase,IOTC
Indian,ALB,Indian,1951,Fratio,0.00055627,SS3,Basecase,IOTC
Indian,ALB,Indian,1952,Fratio,0.00108763,SS3,Basecase,IOTC
Indian,ALB,Indian,1953,Fratio,0.00892034,SS3,Basecase,IOTC
Indian,ALB,Indian,1954,Fratio,0.0227649,SS3,Basecase,IOTC
Indian,ALB,Indian,1955,Fratio,0.0266855,SS3,Basecase,IOTC
Indian,ALB,Indian,1956,Fratio,0.0437002,SS3,Basecase,IOTC
Indian,ALB,Indian,1957,Fratio,0.0420128,SS3,Basecase,IOTC
Indian,ALB,Indian,1958,Fratio,0.0643407,SS3,Basecase,IOTC
Indian,ALB,Indian,1959,Fratio,0.112177,SS3,Basecase,IOTC
Indian,ALB,Indian,1960,Fratio,0.127805,SS3,Basecase,IOTC
Indian,ALB,Indian,1961,Fratio,0.169779,SS3,Basecase,IOTC
Indian,ALB,Indian,1962,Fratio,0.22909,SS3,Basecase,IOTC
Indian,ALB,Indian,1963,Fratio,0.169099,SS3,Basecase,IOTC
Indian,ALB,Indian,1964,Fratio,0.240169,SS3,Basecase,IOTC
Indian,ALB,Indian,1965,Fratio,0.153551,SS3,Basecase,IOTC
Indian,ALB,Indian,1966,Fratio,0.192314,SS3,Basecase,IOTC
Indian,ALB,Indian,1967,Fratio,0.278269,SS3,Basecase,IOTC
Indian,ALB,Indian,1968,Fratio,0.251394,SS3,Basecase,IOTC
Indian,ALB,Indian,1969,Fratio,0.284306,SS3,Basecase,IOTC
