Ocean,Species,Stock,Year,Variable,Value,Model,Run,RFMO
Atlantic,ALB,North Atlantic,1930,Bratio,2.716923932,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1931,Bratio,2.689205464,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1932,Bratio,2.653525111,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1933,Bratio,2.627560972,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1934,Bratio,2.607608917,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1935,Bratio,2.571181875,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1936,Bratio,2.533484447,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1937,Bratio,2.508634411,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1938,Bratio,2.494214843,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1939,Bratio,2.478280972,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1940,Bratio,2.45731146,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1941,Bratio,2.452546551,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1942,Bratio,2.443035761,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1943,Bratio,2.426381253,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1944,Bratio,2.4106105,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1945,Bratio,2.396024774,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1946,Bratio,2.35574873,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1947,Bratio,2.329807145,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1948,Bratio,2.313933463,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1949,Bratio,2.288897838,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1950,Bratio,2.256879196,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1951,Bratio,2.198353434,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1952,Bratio,2.15764961,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1953,Bratio,2.124930506,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1954,Bratio,2.099149061,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1955,Bratio,2.051454405,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1956,Bratio,2.027322806,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1957,Bratio,1.981980681,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1958,Bratio,1.93638643,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1959,Bratio,1.869169602,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1960,Bratio,1.811589609,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1961,Bratio,1.749895523,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1962,Bratio,1.715553586,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1963,Bratio,1.645054609,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1964,Bratio,1.57380583,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1965,Bratio,1.494996504,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1966,Bratio,1.429154394,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1967,Bratio,1.39681169,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1968,Bratio,1.337404667,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1969,Bratio,1.312728218,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1970,Bratio,1.28656342,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1971,Bratio,1.262606347,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1972,Bratio,1.21196031,BDM,Run1,ICCAT
