SpStock,Ocean,Species,Year,medianFratio,Group,GL,meanFgl,Fstatus_meanFgl,Weights_MSY,Fstatus_species_meanFgl10
ALB Indian,Indian,ALB,1950,0,Tunas,8,0,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1951,0,Tunas,8,0,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1952,0,Tunas,8,0,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1953,0.01,Tunas,8,0,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1954,0.02,Tunas,8,0,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1955,0.03,Tunas,8,0,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1956,0.04,Tunas,8,0,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1957,0.04,Tunas,8,0.0175,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1958,0.06,Tunas,8,0.025,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1959,0.11,Tunas,8,0.03875,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1960,0.13,Tunas,8,0.055,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1961,0.17,Tunas,8,0.075,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1962,0.23,Tunas,8,0.10125,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1963,0.17,Tunas,8,0.11875,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1964,0.24,Tunas,8,0.14375,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1965,0.15,Tunas,8,0.1575,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1966,0.19,Tunas,8,0.17375,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1967,0.28,Tunas,8,0.195,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1968,0.25,Tunas,8,0.21,Not Overfishing,38800,Not Overfishing
ALB Indian,Indian,ALB,1969,0.28,Tunas,8,0.22375,Not Overfishing,38800,Overfishing
ALB Indian,Indian,ALB,1970,0.18,Tunas,8,0.2175,Not Overfishing,38800,Overfishing
ALB Indian,Indian,ALB,1971,0.17,Tunas,8,0.2175,Not Overfishing,38800,Overfishing
ALB Indian,Indian,ALB,1972,0.16,Tunas,8,0.2075,Not Overfishing,38800,Overfishing
ALB Indian,Indian,ALB,1973,0.31,Tunas,8,0.2275,Not Overfishing,38800,Overfishing
